food,category,value,package,package_price_usd,price_basis
Pinto beans (dry),Dried beans & lentils,97.9,4 lb bag,3.97,"Walmart GV (fiber study, audited)"
Black beans (dry),Dried beans & lentils,81.0,2 lb bag,2.42,"Walmart GV (fiber study, audited)"
Brown lentils (dry),Dried beans & lentils,77.7,16 oz bag,1.44,"Walmart GV (fiber study, audited)"
Navy beans (dry),Dried beans & lentils,75.9,2 lb bag,2.67,"Walmart GV (fiber study, audited)"
Green split peas (dry),Dried beans & lentils,73.9,16 oz bag,1.42,"Walmart GV (fiber study, audited)"
Chickpeas (dry),Dried beans & lentils,56.7,16 oz bag,1.64,"Walmart (fiber study, audited)"
Red lentils (dry),Dried beans & lentils,56.0,16 oz bag,1.94,"Walmart (fiber study, audited)"
Canned black beans,Canned beans,30.1,15.5 oz can,0.88,"Walmart GV (fiber study, audited)"
Canned kidney beans,Canned beans,23.4,15.5 oz can,0.98,"Walmart GV (fiber study, audited)"
Canned chickpeas,Canned beans,22.0,15.5 oz can,0.98,"Walmart GV (fiber study, audited)"
